Period,Reach,Replicate,Season,Biomassg_m2,Resource
Before,Control,1,Autumn,2.08333333333333,CPOM
Before,Control,2,Autumn,1.22222222222222,CPOM
Before,Control,3,Autumn,5.4,CPOM
Before,Control,4,Autumn,1.66666666666667,CPOM
Before,Control,5,Autumn,8.27956989222222,CPOM
Before,Control,6,Autumn,6,CPOM
Before,Control,7,Autumn,26.1014772,CPOM
Before,Control,8,Autumn,18.4,CPOM
Before,Control,9,Autumn,2.50694444444444,CPOM
Before,Impact,2,Autumn,7.31590413888889,CPOM
Before,Impact,3,Autumn,22.3645833333333,CPOM
Before,Impact,1,Autumn,45.2238806,CPOM
Before,Impact,4,Autumn,5.35353535333333,CPOM
Before,Impact,5,Autumn,59.7728813555556,CPOM
Before,Impact,6,Autumn,54.7710007888889,CPOM
Before,Impact,7,Autumn,2.64444444444444,CPOM
Before,Impact,8,Autumn,24.1329966333333,CPOM
Before,Impact,9,Autumn,58.7245696444445,CPOM
Before,Control,1,Winter,0,CPOM
Before,Control,2,Winter,0.444444444444444,CPOM
Before,Control,3,Winter,1.04761904766667,CPOM
Before,Control,4,Winter,0.222222222222222,CPOM
Before,Control,6,Winter,0.444444444444444,CPOM
Before,Control,5,Winter,1,CPOM
Before,Control,7,Winter,4.66666666666667,CPOM
Before,Control,8,Winter,1.88888888888889,CPOM
Before,Control,9,Winter,0,CPOM
Before,Impact,3,Winter,4.24836601333333,CPOM
Before,Impact,2,Winter,3.22666666666667,CPOM
Before,Impact,1,Winter,6.88888888888889,CPOM
Before,Impact,4,Winter,3.46296296333333,CPOM
Before,Impact,5,Winter,0.777777777777778,CPOM
Before,Impact,6,Winter,2.11111111111111,CPOM
Before,Impact,9,Winter,8.03252032555556,CPOM
Before,Impact,7,Winter,2.33333333333333,CPOM
Before,Impact,8,Winter,39.0148148111111,CPOM
Before,Impact,1,Spring,0.993687074777778,CPOM
Before,Impact,2,Spring,0.408888888888889,CPOM
Before,Impact,3,Spring,1.17333333333333,CPOM
Before,Impact,4,Spring,15.1399459222222,CPOM
