Period,Campaign,Reach,Sample,Sample_subcategory,Sample_category,d13C_vs_VPDB,X15N_calib_vs_air,C_N,Season,Period_Season
Before,Oct'16,Impact,Alnus A,AqCPOM,Resource,-29.69024,-0.306824406,19.5225196408443,Autumn,Before_Autumn
Before,Oct'16,Impact,Alnus A,AqCPOM,Resource,-29.19145459,-0.342806376,22.784581405682,Autumn,Before_Autumn
Before,Oct'16,Impact,Alnus A,AqCPOM,Resource,-29.86262187,-0.788583013,20.902945502858,Autumn,Before_Autumn
Before,Oct'16,Impact,Alnus A,AqCPOM,Resource,-29.50867803,-0.992480846,21.2207769933574,Autumn,Before_Autumn
Before,Oct'16,Impact,Fallopia A,AqCPOM,Resource,-29.14045403,-0.402776327,14.0157053178265,Autumn,Before_Autumn
Before,Oct'16,Control,Bryophyte,Bryophyte,Resource,-30.14108489,6.776626317,8.76336139018118,Autumn,Before_Autumn
Before,Oct'16,Impact,Fallopia A,AqCPOM,Resource,-29.57191872,-0.618668151,15.5292707369295,Autumn,Before_Autumn
Before,Oct'16,Control,Filament,Filament,Resource,-29.01601268,6.808610291,8.83246873432561,Autumn,Before_Autumn
Before,Oct'16,Impact,Filament,Filament,Resource,-33.03893634,5.233399576,8.59027257605609,Autumn,Before_Autumn
Before,Oct'16,Impact,Alnus A,AqCPOM,Resource,-29.91464244,-0.181887008,16.2220476608282,Autumn,Before_Autumn
Before,Oct'16,Impact,Filament,Filament,Resource,-34.18440877,5.114459173,7.44446736078628,Autumn,Before_Autumn
Before,Oct'16,Impact,Filament,Filament,Resource,-32.93693523,6.132948842,8.97515344269104,Autumn,Before_Autumn
Before,Oct'16,Control,Filament,Filament,Resource,-28.52640737,7.365331337,8.18500778336657,Autumn,Before_Autumn
Before,Oct'16,Control,Biofilm,Biofilm,Resource,-28.26528454,6.253888244,6.83783997383352,Autumn,Before_Autumn
Before,Oct'16,Impact,Fallopia A,AqCPOM,Resource,-28.99255243,-0.751601543,14.7273931990759,Autumn,Before_Autumn
Before,Oct'16,Control,Corylus A,AqCPOM,Resource,-29.10679367,-0.710622076,10.5840125324047,Autumn,Before_Autumn
Before,Oct'16,Impact,Fallopia A,AqCPOM,Resource,-29.28121556,-0.228863469,13.5897266570863,Autumn,Before_Autumn
Before,Oct'16,Impact,Salix A,AqCPOM,Resource,-30.84897257,-0.377788848,26.8151243667025,Autumn,Before_Autumn
Before,Oct'16,Impact,Corylus A,AqCPOM,Resource,-29.09557355,-0.851551461,18.6822195442772,Autumn,Before_Autumn
Before,Oct'16,Impact,Salix A,AqCPOM,Resource,-30.11762464,-0.480737264,23.2152108685279,Autumn,Before_Autumn
Before,Oct'16,Control,Fraxinus A,AqCPOM,Resource,-30.05132392,1.470285145,20.4784832901173,Autumn,Before_Autumn
Before,Oct'16,Control,Alnus A,AqCPOM,Resource,-29.62087925,-1.072440781,22.8022413641886,Autumn,Before_Autumn
